target,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49
apparatskåp,fräsmaskin,gruvmaskin,hisschakt,hissmaskin,hissmaskineri,hissmaskinrum,kylmaskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,huvudjordningsskena,huvudledningsschema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kontaktormotorskydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,driftcentral,elcentral,gruppcentral,huvudcentral,panncentral,reglercentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,hyresgästanpassning,sprinkleranläggning,trafiksignalanläggning,transportanläggning,transporthandling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,funktionsbeskrivning,funktionssamband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,framvägg,gänga,hänsyn,inlägg,läge,pärm,ugn,verktyg,vikt,väg,vägg,väggskåp,väggyta,värde,värme,växel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,beräkning,färgmärkning,jordning,kabelmärkning,märkband,märkbricka,märkning,norrpil,partmärkning,övervakning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,inställningsratt,inställningsvärd,uppställningsplats,återställningsknapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,beställare,bärverk,plåtslageri,ställdon,ställverk,ställverksrum,tillverkare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,appretering,avloppshantering,forcering,hopmontering,injustering,integrering,miniminivå,mobilantenn,montering,monteringshål,motionering,planering,reglering,uppdatering,väggmontering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,busskabel,dubbeldörr,eltel,gummikabel,kabel,kabelkanal,kabelmantel,kabelrör,kabelskärm,kabelstege,kabeltrumma,kablag,kablage,kamera,kapitel,kraftbehov,kraftkabel,kylbaffel,mobil,sidogavel,skötsel,tabell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,allmänbelysning,bakgrundsnivå,belastning,belysning,belysningsnivå,belysningsstyrka,belysningsteknik,beskrivning,betongslipers,kabelingång,reservbelysning,systembeteckning,vägbelysning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,dataskåp,elskåp,hisstyp,mätarskåp,plåtskåp,samråd,skarv,skrubb,skruv,skåp,skåpdörr,skåpstomme,småsak,snäpplås,stopp,stål,tejp,utomhusskåp,önskemål,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,brandutrustning,datautrustning,drivutrustning,elutrustning,förutsättning,granskning,kylutrustning,larmutrustning,signalutrustning,styrutrustning,upprullning,utformning,utrustning,utrustningsdetalj,återställning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,anslutning,anslutningsbox,beslutsväg,elanslutning,genomluftning,gnistbildning,kortslutning,nyanskaffning,nätverksanslutning,planritning,skyltning,tillslutning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elkomponent,fordonsdel,industrikomponent,kompetens,komponent,komponentlista,komponenttyp,sortiment,systemkomponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,anläggning,anvisning,användning,elanläggning,förläggning,hissanläggning,infällning,kabelförläggning,kylanläggning,markanläggning,pumpanläggning,tvättanläggning,utloggning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,anläggningsdel,anläggningsnummer,anläggningsverksamhet,användningsområde,förlängningsdel,tillämpningsexempel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,aggregat,apparat,apparatrum,apparattyp,elapparat,kylaggregat,sammarbete,styrapparat,support,uppstart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,bilaga,elkraft,glastak,hyllie,kilowatt,larmklass,layout,part,plast,plastfodral,plastlaminat,plastrulle,plastskiva,platsbehov,plint,plåt,släplist,test,överlast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,avställning,avsyning,avsäkring,gruppsäkring,gängsäkring,huvudsäkring,knivsäkring,proppsäkring,säkring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elkonstruktion,instruktion,konstruktion,kontaktfunktion,kontrollfunktion,kraftdistribution,metallkonstruktion,nyproduktion,skötselinstruktion,systemkonstruktion,trädstruktur,underhållsinstruktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,frekvensomformare,frekvensomfång,frekvensomriktare,frekvensomvandlare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,luftkonditioneringsanläggning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,autoläge,eluttag,katalog,metall,mätvagn,nätverksuttag,slutmontage,utgång,uttag,uttagsdon,vägguttag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,handbok,omvandlare,skyddskrav,standard,standardlängd,standardtyp,stannplan,starttid,stegljud,stomljud,strömart,svagström,svängarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,högspänningsställverk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kapslingsklass,kopplingsenhet,kopplingskabel,kopplingsledning,kopplingslåda,kopplingsplint,kopplingsskåp,kopplingstråd,samlingsskena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kyla,kylluft,kylrum,kyltorn,ljusskylt,metallskylt,motorskydd,märkskylt,nattkyla,skola,skydd,skylt,skärm,stolpe,stålplåt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kommunikationsbuss,kommunikationsenhet,kommunikationsgränssnitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,signalkabel,specialkabel,specialskåp,specifikation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,biutrymme,golvutrymme,maskinutrymme,reservutrymme,rumsnummer,strömskena,teknikutrymme,utdragare,utrymme,utrymmesbehov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elinstallation,elinstallationsregel,elinstallatör,hissinstallation,installation,installationsgolv,installationstid,installatör,likriktarstation,maskininstallation,nyinstallation,polykristallin,rörinstallation,säkerhetsinstallation,teleinstallation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,applikation,dokumentation,kanalisation,köksventilation,presentation,pumpstation,realtidsklocka,ventilation,ventilationshuv,ventilhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,anpassningsenhet,anslutningsenhet,anslutningskontakt,anslutningsplint,anslutningssladd,anslutningsspänning,kortslutningseffekt,kortslutningsström,övervakningsenhet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,amperemeter,tångamperemeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,buntning,bygling,elmatning,fabrikant,inmatning,kraftmatning,kraftring,kylning,lösning,maskin,matning,mätning,mätpunkt,provning,silning,utmatning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,behovsstyrning,frekvensstyrning,maskinstyrning,processanläggning,processtyrning,projektering,varvtalsstyrning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,serverrum,service,servicebok,servicepunkt,servo,skarvpunkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,batteri,batteribackup,caverion,elmaterial,fackpersonal,handterminal,material,materiel,matkällare,minuspol,motorkabel,motorrum,påverkan,ytmaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,moduluppbyggnad,systemuppbyggnad,systemutbyggnad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,värmecentral,värmekabel,värmepump,värmeslinga,värmespiral,värmeväxlare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,brandegenskap,dokumentskåp,industriändamål,instrumenter,instrumentskåp,instrumenttavla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elsäkerhetslag,säkerhetskontakt,säkerhetskopia,säkerhetskrets,säkerhetsmodul,säkerhetsrelä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elförbindelse,miljöbetingelse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elvärme,vinkelfäste,växeldriv,växelriktare,växelventil,växelvärme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,operatörspanel,temperaturgivare,temperaturnivå,temperaturregulator,temperaturspann,temperaturstyrning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,differenstryck,elleverantör,hellermanntyton,ledarantal,leverans,leverantör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,adress,broms,bvs,fas,frys,frysrum,fräs,hiss,parhus,pris,referens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,brandgasfläkt,fabrikat,felläge,fjärr,flik,fläkt,fläktrum,jordfläta,kylfläkt,luft,takfläkt,tilluftsfläkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,beläggningssystem,fördelningssystem,järnvägssektor,kopplingssystem,montagesystem,vägningssystem,värmepumpssystem,övervakningssystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,klenspänning,lågspänning,matningsspänning,skärmning,spiralslang,spolslang,spänning,spänningsnivå,styrning,störning,susning,ursparning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,driftindikering,driftingenjör,driftoptimering,driftsättning,lägesindikering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,beröringsskydd,överspänningsskydd,överströmsskydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,isolationstransformator,skyddstransformator,spänningstransformator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,värmeavgivning,värmeavledning,värmeelement,vätskekylning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,nätverkskommunikation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,drift,driftavbrott,driftdon,driftlarm,driftplats,driftprov,drifttid,motordrift,norsjö,nöddrift,nödkraft,ritn,tyristor,ändring,översikt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,fastighetsautomation,fastighetsdrift,fastighetsskötare,fastighetsteknik,hastighetsbegränsare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,ahlsell,figur,filter,filteryta,fältbuss,kvalitet,luftljud,miljö,nätfilter,tillbehör,timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,enkelledare,fasledare,hållare,jordledare,kopparledare,neutralledare,nolledare,nolläge,oljetanke,skyddsledare,voltmätare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,bortfall,downloads,fundament,honkontakt,kondens,kontakt,kontaktor,kostnad,larmkontakt,montage,myndighetskontakt,rökdetektor,väggmontage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kostnadsbesparing,tidsbesparing,tidsstyrning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,industriapplikation,industriautomation,industrielektriker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,projektkoordinator,projektsamordnare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,byggnadsnummer,byggnadsstomme,ombyggnadssats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,reglerfunktion,tillvalsfunktion,tilläggsfunktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,anm,dörrpanel,energi,info,innehåll,nyckel,paket,panel,panna,pannrum,personal,solpanel,trainee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,acm,avloppspump,elpump,elrum,pulpet,pump,pumpgrop,pumphus,rullramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,arbetsbrytare,arbetsglädje,effektbrytare,jordfelsbrytare,motorskyddsbrytare,säkerhetsbrytare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kontaktledningsanläggning,övervakningsanläggning,övervakningsfunktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kontrollkabel,kontrollpanel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,affärsrelation,information,omformare,omformarstation,reparation,statusinformation,vibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,närsjukhus,objekttyp,produkt,projekt,projektör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,dieselaggregat,spänningsaggregat,stängselaggregat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elscheman,flödesschema,kretsschema,modem,schakt,schema,siemens,ståhöjd,switchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,analysatorer,bakstycke,batterisystem,bromsmotstånd,brosystem,bussystem,centralsystem,driftsystem,elkraftssystem,elvärmesystem,hissystem,kylsystem,polyester,reglersystem,rörpostsystem,styrsystem,system,vakuumsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,dräneringspump,monteringsarbete,monteringsmaskin,monteringsplats,monteringssats,mottagningsstation,orienteringsplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,apr,backlampa,bsab,cab,förkunskap,gas,jan,kap,kmk,kod,korg,kran,krav,kund,kvalité,kwh,köp,mapp,nvp,pdf,ram,tak,vvs,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,block,boverk,fack,golv,golvsockel,jobb,lack,larm,lcp,lock,locums,logo,lucka,modul,rack,sockel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,dörrkarm,etikett,fönsterdekor,hisskorg,simkort,skyddsform,stororder,styrdon,styrkabel,styrkort,styrkrets,styrmodul,tryckluft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,fuktgivare,givare,mjukgörare,mjukstartar,måttangivelse,pulsgivare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kommunikationsutrustning,ventilationsanläggning,ventilationsutrustning,ventilationsöppning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,effektmätning,energimätare,energimätning,strömmätning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,centralenhet,datorenhet,erfarenhet,kylenhet,rumsenhet,strypventil,styrenhet,styrventil,systemdel,säkerhet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,bortkoppling,elkapsling,elkoppling,förkopplingsdon,inkoppling,kapsling,komplettering,kopparledning,koppling,livslängd,omkopplare,stapling,överkoppling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,borrvagn,brytare,brännbarhet,dvärgbrytare,förångare,huvudbrytare,hårdvara,larmsändare,likriktare,nyttjare,omriktare,strömbrytare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,potentialutjämningsskena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,driftentreprenör,elentreprenör,entreprenad,entreprenadgräns,entreprenör,felfrekvens,rörentreprenör,underentreprenör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,förbindning,fördelning,fördröjningstid,föreskrift,förskruvning,gruppförteckning,kraftfördelning,körfältssignal,tidsfördröjning,zonindelning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elbutik,elmontör,elmotor,elmätare,golvmodell,kuggväxelmotor,pumpmotor,regulator,termistor,termografi,termostat,trefasmotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,applikationsområde,dagvattenbrunn,dilatationsfog,operationsrum,operationssal,reparationsarbete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,arbetshöjd,armatur,arthur,garantitid,larmtråd,ljusarmatur,lysrörsarmatur,semafor,tastatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,elektriker,elektronik,elektronikbox,elektronikenhet,elektronikkomponent,kraftelektronik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,direktupphandling,luftbehandling,luftbehandlingssystem,luftkylning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,dataledning,eldning,elledning,felsökning,gruppledning,helhetslösning,huvudledning,huvudmeny,legotillverkning,lindning,rörledning,signalledning,teleledning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,resetknapp,stoppknapp,testknapp,tryckknapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,normalkraft,reservdel,reservkapacitet,reservkraft,reservplats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,bearbetningsmaskin,förpackningsmaskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,golvtemperatur,innertemperatur,omgivningstemperatur,rumstemperatur,rökgastemperatur,systemintegratör,temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,blandningskärl,bredbandstjänst,ledningsarea,ledningslängd,ledningsnät,reningsverk,tillverkningsdatum,öppningstid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,livsmedelssäkerhet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,kompetensområde,kompressor,komprimator,kondensor,kylkompressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,design,display,fästdon,insida,minussida,resultatsida,uppsida,utsida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,avstängningsanordning,belysningsanordning,uppvärmningsanordning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,arbetsplatsbelysning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,datorprogramvara,programmering,programvara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,brandskyddsförening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,metallhalogenlampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,spridningsvinkel,strålningsvärme,upplysningsmärke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,drivanordning,manöveranordning,mätanordning,skyddsjordning,skötselanvisning,standardlösning,styranordning,traktordriven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,behörighet,enlighet,fastighet,förlusteffekt,regionchef,rikshem,riktantenn,riktighet,röktäthet,trafiksignal,yrkesstolthet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,alternativ,automat,automatik,automatikskåp,automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,automationslösning,automationssystem,automationsteknik,automatisering,automatsäkring,klimatisering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,hannovermässa,manövercentral,manöverhandtag,manöverknapp,manöverpanel,manöverplats,manöverpulpet,manöverskåp,manöversystem,manövertavla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,handreglage,pådrag,underhåll,underlag,undertak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,behov,bräddavlopp,data,dataformat,datanät,dator,datordel,datum,detalj,detektor,dörr,flödesregulator,kategori,kontor,moderator,nödstopp,radiator,sensor,stativ,webbyrå,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,direktiv,ljusteknik,styrteknik,takräck,teknik,teknikhus,teknikintresse,teknikrum,ventil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,installationselektriker,installationsinstruktion,installationsmanual,installationsmateriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,analysutrustning,elektronikutrustning,kontrollutrustning,kopplingsutrustning,manöverutrustning,reglerutrustning,reningsutrustning,ritningsförteckning,sanitetsutrustning,övervakningsutrustning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,starkströmsföreskrift,strömförbrukare,strömförsörja,strömförsörjning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,anfört_arbete,effektivitet,effektuttag,selektivitet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,eldragning,framdragning,hydraulhiss,indikering,indragning,industriel,kabeldragning,ledningsdragning,principritning,sekundärlindning,uppdragsnamn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,protokoll,provningsprotokoll,testprotokoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,avfallsförbränning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,bild,desk,eec,flextid,hydro,hölje,lager,led,lux,lysdiod,låda,lås,låsvred,mcd,mått,nät,oljebad,relä,sek,sld,tele,texthöjd,ärende,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,bottenplåt,expansionskort,transformator,transport,transportbana,transportsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparatskåp,bilbransch,bransch,elbransch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,livsmedelsverk,naturvårdverk,råvattentäkt,ytvattenförekomst,ytvattenverk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,djupförvar,högreservoar,kranförare,mjukgörare,slutförvar,slutförvaring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,akvifären,dagvatten,lakvatten,lastplattform,länsvatten,råvatten,takplatta,älvvatten,ölandssten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barriär,genomsläpplighet,passagemöjlighet,pendlingsmöjlighet,rekreationsmöjlighet,rörelsemöjlighet,tillgänglighet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
